Ellen Gleditsch' vei,Stovner
Ellingsrudveien,Stovner
Elmholt allé,Ullern
Elmholtveien,Ullern
Elsters gate,Frogner
Eltonveien,Bjerke
Elvefaret,Vestre Aker
Elvegangene,Sentrum
Elvegata,Sentrum
Elveliveien,Oslomarka
Elverumgata,Gamle Oslo
Emil Korsmos vei,Østensjø
Enebakkveien,Gamle Oslo / Nordstrand / Østensjø / Søndre Nordstrand
Enebostubben,Stovner
Eneboveien,Stovner
Enerhauggata,Gamle Oslo
Enerhaugkleiva,Gamle Oslo
Engebrets vei,Ullern
Engebråtveien,Nordre Aker
Engveien,Nordre Aker
Enoks vei,Nordstrand
Ensjøsvingen,Gamle Oslo
Ensjøveien,Gamle Oslo
Erich Mogensøns vei,Bjerke
Erika Nissens gate,Sagene
Erlandstuveien,Nordstrand
Erlends vei,Alna
Erling Michelsens vei,Alna
Erling Schiøtz’ vei,Nordstrand
Erlings gate,Gamle Oslo
Erling Skjalgssons gate,Frogner
Essendrops gate,Frogner
Eterveien,Østensjø
Etterstadgata,Gamle Oslo
Etterstadkroken,Gamle Oslo
Etterstadsletta,Gamle Oslo
Eugéne Hanssens gate,St. Hanshaugen
Eugenies gate,St. Hanshaugen
Europaveien,Nordstrand / Østensjø / Søndre Nordstrand
Eva Kolstads gate,St. Hanshaugen
Evald Ryghs gate,St. Hanshaugen
Evens gate,Gamle Oslo
Eventyrveien,Nordre Aker
Eystein Torkildsens vei,Nordstrand
Fabrikkgata,Frogner
Fabritiusalléen,Vestre Aker
Fagerborggata,Frogner / St. Hanshaugen
Fagerheimgata,Sagene / Grünerløkka
Fagerlia,Østensjø
Fagerlitrappa,Østensjø
Fagerliveien,Nordre Aker
Fagertunveien,Ullern
Fahlstrøms terrasse,Vestre Aker
Falbes gate,St. Hanshaugen
Fallanveien,Nordre Aker
Falsens gate,Grünerløkka
Fastings gate,St. Hanshaugen
Fattigstugangen,Grünerløkka
Fauchalds gate,Frogner
Faunveien,Vestre Aker
Fayes gate,St. Hanshaugen
Fearnleys gate,Frogner
Feddersens gate,Sagene
Feltspatveien,Nordstrand
Fernanda Nissens gate,Nordre Aker
Fetsundgata,Gamle Oslo
Filerveien,Østensjø
Filips gate,Gamle Oslo
Filipstad brygge,Frogner
Filipstadveien,Frogner
Filosofgangen,Sentrum
Finnhaugveien,Vestre Aker
Finnmarkgata,Grünerløkka
Finns vei,Grünerløkka
Fiolveien,Nordstrand
Firkløverveien,Ullern
Fiskekroken,Nordstrand
Fisker Syversens vei,Nordstrand
Fjeldhøikroken,Alna
Fjellgata,Grünerløkka
Fjellhus allé,Alna
Fjellhøiveien,Grorud
Fjellklangveien,Nordstrand
Fjellknattveien,Nordre Aker
Fjellstien,Nordre Aker
Fjellstuveien,Stovner
Fjordalleen,Frogner
Fjordgløttveien,Grünerløkka
Fjordveien,Nordstrand
Fjørtofts gate,Sagene
Flaengrenda,Grorud
Flaenveien,Grorud
Flatengen,Gamle Oslo
Flesåstunet,Nordre Aker
Flesåsveien,Nordre Aker
Flintoes gate,St. Hanshaugen
Flisberget,Gamle Oslo
Florabakken,Nordstrand
Flyveien,Vestre Aker
Folke Bernadottes vei,Nordre Aker
Folketeaterpassasjen,St. Hanshaugen
Folkvangveien,Stovner
Formerveien,Østensjø
Forskningsveien,Vestre Aker
Fossefaret,Vestre Aker
Fossilveien,Nordstrand
Fossumberget,Stovner
Fossumkroken,Stovner
Fossumveien,Stovner
Fossveien,Grünerløkka
Fougners vei,Grünerløkka
Fougstads gate,St. Hanshaugen
Framnes terrasse,Frogner
Framnesveien,Frogner
Framveien,Nordstrand
Francis Hagerups gate,St. Hanshaugen
Frantzebråtveien,Ullern
Fredensborgveien,St. Hanshaugen / Grünerløkka
Frederik Glads gate,Sagene
Frederiks gate,Sentrum
Frederik Stangs gate,Frogner
Fredheimveien,Stovner
Fred. Olsens gate,Sentrum
Frederik Haslunds gate,Grünerløkka
Fredrikke Qvams gate,St. Hanshaugen
Fredrik Petersens gate,St. Hanshaugen
Fredriksborgveien,Frogner
Fredrik Selmers vei,Gamle Oslo
Fredveien,Nordstrand
Freidigveien,Nordstrand
Frenningfaret,Nordre Aker
Frennings vei,Nordre Aker
Freserveien,Gamle Oslo
Frichs gate,St. Hanshaugen
Fridtjof Nansens vei,Frogner / Ullern
Fridtjovs gate,Gamle Oslo
Frierveien,Nordstrand
Friggs vei,Nordre Aker
Friis' gate,Gamle Oslo
Frimanns gate,St. Hanshaugen
Frits Kiærs vei,Ullern
Frits Thaulows gate,Frogner
Fritzners gate,Frogner
Frodes vei,Nordstrand
Frognerhøiveien,Frogner
Frognerseterveien,Vestre Aker / Oslomarka
Frognerstranda,Frogner
Frogner terrasse,Frogner
Frognerveien,Frogner
Frostveien,Nordstrand/Søndre Nordstrand
Fru Kroghs brygge,Frogner
Frydenbergbakken,Grünerløkka
Frydenbergveien,Grünerløkka
Frydenlundgata,St. Hanshaugen
Frydens gate,Grünerløkka
Frysjaveien,Nordre Aker
Frøensalléen,Vestre Aker
Frølichs vei,Frogner
Frøyas gate,Frogner
Frøydis' vei,Nordstrand
Fuglehauggata,Frogner
Fugleliveien,Østensjø
Furer Nymos vei,Grorud
Furubråtveien,Nordstrand
Furukollveien,Nordre Aker
Furulundsveien,Ullern
Furulundtoppen,Ullern
Furumoen,Nordstrand
Furuset allé,Alna
Furusetveien,Alna
Furustien,Alna
Furuveien,Østensjø
Fyrstikkalléen,Gamle Oslo
Fyrstikkbakken,Alna / Østensjø
Fådveien,Vestre Aker
Gabbi Lunds vei,Nordstrand
Gabels gate,Frogner
Galgeberg,Gamle Oslo
Gamle Brennavei,Søndre Nordstrand
Gamle Bygdevei,Nordstrand / Søndre Nordstrand
Gamle Enebakkvei,Østensjø
Gamlehagen,Nordstrand
Gamle Heggelivei,Oslomarka
Gamle Herregårdsvei,Nordstrand
Gamle Hovsetervei,Vestre Aker
Gamle Kjelsåsvei,Nordre Aker
Gamle Leirdals vei,Alna
Gamlelinja,Søndre Nordstrand
Gamle Madserud allé,Ullern
Gamle Maridalsvei,Oslomarka
Gamle Mossevei,Nordstrand
Gamle Strømsvei,Alna
Gamle Trondheimsvei,Stovner
Gamleveien,Alna
Gange-Rolvs gate,Frogner
Gangstuveien,Grorud
Gardeveien,Frogner
Gartner Syversens vei,Grünerløkka
Gartnerveien,Østensjø
Garver Ytteborgs vei,Stovner
Gaupefaret,Vestre Aker
Gaustadalléen,Nordre Aker / Vestre Aker
Gaustadveien,Nordre Aker
Geitmyrsveien,St. Hanshaugen
General Birchs gate,St. Hanshaugen
General Krohgs vei,Ullern
Generallunden,Ullern
General Ruges vei,Østensjø
Geologsvingen,Ullern
Geviret,Søndre Nordstrand
Gildevangen,Grünerløkka
Gimle terrasse,Frogner
Gimleveien,Frogner
Gina Krogs vei,Nordstrand
Giskehagen,Vestre Aker
Gisles vei,Nordstrand
Gjennomfaret,Nordre Aker
Gjenveien,Vestre Aker
Gjerdesmutten,Grorud
Gjerdrums vei,Nordre Aker
Gjøaveien,Vestre Aker
Gjøkbakken,Vestre Aker
Gjørstads gate,Frogner
Gjøvikgata,Sagene
Glacisgata,Sentrum
Gladengveien,Gamle Oslo
Glads vei,Nordre Aker
Gladvoll terrasse,Nordstrand
Gladvollveien,Nordstrand
Glimmersvingen,Nordstrand
Glimmerveien,Nordstrand
Glitreveien,Østensjø
Glückstads gate,St. Hanshaugen
Godals vei,Nordre Aker
Godheimveien,Søndre Nordstrand
Godlia parksti,Østensjø
Godliasvingen,Østensjø
Godliaveien,Østensjø
Golfstubben,Vestre Aker
Granbergstubben,Søndre Nordstrand
Grandeveien,Frogner
Granebakken,Søndre Nordstrand
Granhekkveien,Østensjø
Granittveien,Nordstrand
Grankollveien,Alna
Grankvisten,Nordstrand
Granliveien,Stovner
Gransdalen,Alna
Granstangen,Alna
Granstuveien,Nordstrand
Gransveien,Oslomarka
Grantunet,Søndre Nordstrand
Granveien,Nordstrand
Grasveien,Østensjø
Gravdalsveien,Vestre Aker
Grefsen allé,Nordre Aker
Grefsenkollveien,Nordre Aker
Grefsentunet,Nordre Aker
Grefsenveien,Sagene / Nordre Aker
Gregers Grams vei,Ullern
Grenaderstien,Alna
Grengaten,St. Hanshaugen
Grensen,Sentrum / St. Hanshaugen
Grensestien,Søndre Nordstrand
Grensesvingen,Gamle Oslo
Grenseveien,Grünerløkka / Gamle Oslo
Greveveien,Oslomarka
Grevlinglia,Søndre Nordstrand
Grevlingveien,Bjerke
Griffenfeldts gate,St. Hanshaugen / Sagene
Grimelundshaugen,Vestre Aker
Grimelundsveien,Vestre Aker
Grimstadgata,Sagene
Grinda,Nordre Aker
Grindbakken,Vestre Aker
Griniveien,Vestre Aker
Grorudbakken,Grorud
Grorudveien,Grorud / Alna
Grottenveien,Nordstrand
Grubbebakken,St. Hanshaugen
Grubbegata,St. Hanshaugen
Gruegata,Gamle Oslo
Grundingen,Frogner
Grundingen,Frogner
Grusveien,Nordstrand
Gruvelia,Grorud
Grüners gate,Grünerløkka
Grünerstubben,Grünerløkka
Grytebekkveien,Oslomarka
Gryteveien,Oslomarka
Grønland,Gamle Oslo
Grønlandsleiret,Gamle Oslo
Grønlibakken,Østensjø
Grønlikleiva,Gamle Oslo
Grønliveien,Alna
Grønmoveien,Søndre Nordstrand
Grønnegata,Frogner
Grønsundveien,Nordstrand
Grønvoll allé,Gamle Oslo
Grøttumsveien,Oslomarka
Gråbrødreveien,Ullern
Grågåsveien,Østensjø
Graahbakken,Frogner
Gråkamveien,Vestre Aker
Gråseterveien,Oslomarka
Gråsteinveien,Nordstrand
Guldberglia,Ullern
Guldbergs vei,Ullern
Gulleråsveien,Vestre Aker
Gullhaugveien,Nordre Aker
Gullkroken,Ullern
Gunhilds gate,Gamle Oslo
Gunnar Johnsons vei,Nordre Aker
Gunnar Schjelderups vei,Nordre Aker
Gunnars vei,Oslomarka
Gunnulvs vei,Alna
Gurinestubben,Bjerke
Guristuveien,Østensjø
Gustav Bloms gate,Frogner
Gustav Heibergs vei,Nordre Aker
Gustav Jensens gate,Sagene
Gustavs gate,Frogner
Gustav Vigelands vei,Ullern
Guvernørens vei,Ullern
Gydas vei,Frogner
Güettlerbakken,Nordre Aker
Gyldenløves gate,Frogner
Gäbleins vei,Nordre Aker
Gørbitz' gate,St. Hanshaugen
Gøteborggata,Grünerløkka
Gårdsveien,Grorud
Gåsegangen,St. Hanshaugen
Hafrsfjordgata,Frogner
Hafslundveien,Vestre Aker
Hagaløkka,Grorud
Hagan terrasse,Ullern
Hagapynten,Alna
Hagastubben,Stovner
Hagaveien,Stovner
Hagegata,Gamle Oslo
Hagelundveien,Grorud
Hagenbakken,Søndre Nordstrand
Hagtornveien,Nordre Aker
Hallagerbakken,Søndre Nordstrand
Hallings gate,St. Hanshaugen
Hallvard Bergves vei,Grorud
Halvdan Svartes gate,Frogner
Halvor Schous gate,Sagene
Halvor Torgersens vei,Vestre Aker
Hamborgveien,Nordre Aker
Hammerfestgata,Grünerløkka
Hammergata,Sagene
Hammersborggata,St. Hanshaugen
Hammerstads gate,Frogner
Hanken,Alna
Hans Amundsens vei,Sagene
Hans Barliens gate,Grünerløkka
Hans Breiens vei,Søndre Nordstrand
Hans C. Gjefles vei,Nordstrand
Hansegata,Nordre Aker
Hansemyrveien,Nordre Aker
Hans Møller Gasmanns vei,Bjerke
Hans Nielsen Hauges gate,Sagene / Nordre Aker
Hans Nordahls gate,Sagene
Hans Ross’ gate,St. Hanshaugen
Hans Steinpukkers vei,Søndre Nordstrand
Hansteens gate,Frogner
Hans Vinjarengens vei,Alna
Hans Aanruds vei,Grorud
Hanåveien,Søndre Nordstrand
Harald Halvorsens vei,Alna
Harald Hårfagres gate,Frogner
Harald Løvenskiolds vei,Vestre Aker
Haraldrudveien,Bjerke
Harald Rømckes vei,Frogner
Haraldsheimveien,Nordre Aker
Harald Sohlbergs vei,Alna
Harald Stavøstrands vei,Oslomarka
Haralds vei,Grünerløkka
Haraløkka,Østensjø
Harbitzalléen,Ullern
Harelabbveien,Frogner
Harestien,Vestre Aker
Hareveien,Nordre Aker
Harry Fetts vei,Østensjø
Hartmanns vei,Ullern
Hartvig Halvorsens vei,Vestre Aker
Haråsveien,Ullern
Haslefetbakken,Østensjø
Haslekroken,Grünerløkka
Haslevangen,Grünerløkka
Hasleveien,Grünerløkka
Haslevollen,Grünerløkka
Hasselbakken,Nordre Aker
Hasselhaugveien,Nordre Aker
Hauchs gate,Grünerløkka
Haugakollveien,Oslomarka
Haugenslettveien,Grorud
Haugenstien,Alna
Haugenstuveien,Alna / Stovner
Haugerudbakken,Alna
Haugerudhagan,Alna
Haugerudsenteret,Alna
Haugerudtunet,Alna
Haugerudveien,Alna
Hauges vei,Nordre Aker
Haugmannsveien,Bjerke
Haukelibakken,Vestre Aker
Hauketosvingen,Søndre Nordstrand
Hauketotoppen,Søndre Nordstrand
Hauketoveien,Søndre Nordstrand
Hauketoåsen,Søndre Nordstrand
Hausmanns gate,St. Hanshaugen / Grünerløkka
Havna allé,Vestre Aker
Havnabakken,Nordre Aker
Havnegata,Sentrum
